state,old_rank,indicator,old_score,new_score,score_gain,new_rank,rank_gain
Tripura,25,investment_rate,0.32,0.374,0.054,19,6
Madhya Pradesh,24,factory_density,0.326,0.379,0.053,18,6
Andaman & Nicobar Islands,29,factory_density,0.254,0.334,0.08,23,6
Manipur,28,manufacturing_share,0.276,0.332,0.056,23,5
Mizoram,23,manufacturing_share,0.331,0.39,0.059,18,5
Jammu & Kashmir,26,factory_density,0.295,0.35,0.056,21,5
Chandigarh,19,investment_rate,0.37,0.422,0.052,15,4
Odisha,14,factory_density,0.435,0.486,0.051,10,4
Kerala,15,investment_rate,0.417,0.458,0.042,11,4
Bihar,30,factory_density,0.245,0.304,0.059,26,4
Jharkhand,21,factory_density,0.344,0.395,0.051,17,4
Delhi,13,investment_rate,0.446,0.493,0.048,9,4
Arunachal Pradesh,33,td_losses,0.198,0.276,0.078,29,4
Meghalaya,31,msme_density,0.223,0.283,0.061,27,4
Chhattisgarh,22,life_expectancy,0.335,0.388,0.053,18,4
Uttar Pradesh,27,factory_density,0.28,0.327,0.047,24,3
Maharashtra,8,factory_density,0.505,0.53,0.025,5,3
Himachal Pradesh,9,msme_density,0.489,0.516,0.027,6,3
Nagaland,32,manufacturing_share,0.204,0.262,0.058,29,3
West Bengal,17,factory_density,0.392,0.437,0.045,14,3
Sikkim,16,investment_rate,0.397,0.444,0.047,14,2
Rajasthan,18,factory_density,0.374,0.413,0.039,16,2
Gujarat,3,ger,0.594,0.628,0.033,1,2
Assam,20,factory_density,0.353,0.386,0.033,18,2
Punjab,7,manufacturing_share,0.506,0.517,0.012,6,1
Tamil Nadu,2,investment_rate,0.605,0.613,0.009,1,1
Andhra Pradesh,6,manufacturing_share,0.507,0.534,0.028,5,1
Haryana,10,life_expectancy,0.48,0.503,0.022,9,1
Karnataka,12,investment_rate,0.446,0.473,0.028,11,1
Goa,1,unemployment_rate,0.61,0.649,0.039,1,0
Uttarakhand,11,cd_ratio,0.452,0.474,0.022,11,0
Telangana,5,manufacturing_share,0.523,0.554,0.031,5,0
Puducherry,4,road_density,0.565,0.57,0.005,4,0
